task,policy,retry0_success_rate,retry0_std,old_success_rate,old_std,delta_pp
door-open-v3,no_mem,0.0,0.0,0.0,0.0,0.0
door-open-v3,text_buf,0.0,0.0,0.0,0.0,0.0
door-open-v3,struct_mem,0.0,0.0,0.0,0.0,0.0
pick-place-v3,no_mem,0.0,0.0,0.0,0.0,0.0
pick-place-v3,text_buf,0.7366666666666667,0.07630348761506399,0.21000000000000002,0.03091206165165235,52.666666666666664
pick-place-v3,struct_mem,0.7366666666666667,0.07630348761506399,0.2066666666666667,0.04784233364802441,53.0
push-v3,no_mem,0.0,0.0,0.0,0.0,0.0
push-v3,text_buf,0.6666666666666667,0.25055493963954845,0.6666666666666667,0.25055493963954845,0.0
push-v3,struct_mem,0.6466666666666667,0.26106618998935033,0.6466666666666667,0.26106618998935033,0.0
reach-v3,no_mem,0.0,0.0,0.0,0.0,0.0
reach-v3,text_buf,0.6966666666666667,0.06091888960832355,0.6966666666666667,0.06091888960832355,0.0
reach-v3,struct_mem,0.6966666666666667,0.06091888960832355,0.6966666666666667,0.06091888960832355,0.0
