task,policy,flash_every,mean,std,n_seeds
door-open-v3,no_mem,1,0.903333,0.057009,5
door-open-v3,no_mem,5,0.0,0.0,5
door-open-v3,no_mem,10,0.0,0.0,5
door-open-v3,no_mem,20,0.0,0.0,5
door-open-v3,no_mem,50,0.0,0.0,5
door-open-v3,struct_mem,1,0.903333,0.057009,5
door-open-v3,struct_mem,5,0.906667,0.052175,5
door-open-v3,struct_mem,10,0.91,0.048016,5
door-open-v3,struct_mem,20,0.906667,0.052175,5
door-open-v3,struct_mem,50,0.91,0.048016,5
door-open-v3,text_buf,1,0.91,0.050827,5
door-open-v3,text_buf,5,0.91,0.050827,5
door-open-v3,text_buf,10,0.906667,0.056026,5
door-open-v3,text_buf,20,0.906667,0.056026,5
door-open-v3,text_buf,50,0.91,0.050827,5
sweep-v3,no_mem,1,0.52,0.029814,5
sweep-v3,no_mem,5,0.0,0.0,5
sweep-v3,no_mem,10,0.0,0.0,5
sweep-v3,no_mem,20,0.0,0.0,5
sweep-v3,no_mem,50,0.0,0.0,5
sweep-v3,struct_mem,1,0.52,0.029814,5
sweep-v3,struct_mem,5,0.5,0.058926,5
sweep-v3,struct_mem,10,0.523333,0.049441,5
sweep-v3,struct_mem,20,0.516667,0.02357,5
sweep-v3,struct_mem,50,0.536667,0.061689,5
sweep-v3,text_buf,1,0.52,0.032059,5
sweep-v3,text_buf,5,0.5,0.058926,5
sweep-v3,text_buf,10,0.516667,0.056519,5
sweep-v3,text_buf,20,0.51,0.032489,5
sweep-v3,text_buf,50,0.536667,0.053229,5
