run_dir,exp_id,task,policy,controller,episodes,success_rate,avg_steps,avg_reward,avg_grasp_attempts,avg_grasp_success,avg_retry_count,flash_every,flash_len,wall_time_sec,generated
runs/batch/full_observable/mw-pick-place-v3-no_mem-20260410-195454-seed0,mw-pick-place-v3-no_mem-20260410-195454-seed0,pick-place-v3,no_mem,PD,60,0.6666666666666666,200.0,117.92578425130763,0.0,0.0,0.0,20,1,10.654280185699463,2026-04-10T19:55:05
runs/batch/full_observable/mw-pick-place-v3-no_mem-20260410-195507-seed1,mw-pick-place-v3-no_mem-20260410-195507-seed1,pick-place-v3,no_mem,PD,60,0.6666666666666666,200.0,92.5923045493346,0.0,0.0,0.0,20,1,10.872596025466919,2026-04-10T19:55:18
runs/batch/full_observable/mw-pick-place-v3-no_mem-20260410-195520-seed2,mw-pick-place-v3-no_mem-20260410-195520-seed2,pick-place-v3,no_mem,PD,60,0.8166666666666667,200.0,129.14389495396594,0.0,0.0,0.0,20,1,10.77870225906372,2026-04-10T19:55:31
runs/batch/full_observable/mw-pick-place-v3-struct_mem-20260410-195613-seed0,mw-pick-place-v3-struct_mem-20260410-195613-seed0,pick-place-v3,struct_mem,PD,60,0.6666666666666666,200.0,117.92578425130763,0.0,0.9833333333333333,0.0,20,1,11.547614812850952,2026-04-10T19:56:24
runs/batch/full_observable/mw-pick-place-v3-struct_mem-20260410-195626-seed1,mw-pick-place-v3-struct_mem-20260410-195626-seed1,pick-place-v3,struct_mem,PD,60,0.6666666666666666,200.0,92.5923045493346,0.0,0.9666666666666667,0.0,20,1,11.499587059020996,2026-04-10T19:56:38
runs/batch/full_observable/mw-pick-place-v3-struct_mem-20260410-195639-seed2,mw-pick-place-v3-struct_mem-20260410-195639-seed2,pick-place-v3,struct_mem,PD,60,0.8166666666666667,200.0,129.14389495396594,0.0,1.0,0.0,20,1,12.322651863098145,2026-04-10T19:56:52
runs/batch/full_observable/mw-pick-place-v3-text_buf-20260410-195533-seed0,mw-pick-place-v3-text_buf-20260410-195533-seed0,pick-place-v3,text_buf,PD,60,0.6666666666666666,200.0,117.47344410982195,0.0,0.9833333333333333,0.0,20,1,11.527456998825073,2026-04-10T19:55:44
runs/batch/full_observable/mw-pick-place-v3-text_buf-20260410-195546-seed1,mw-pick-place-v3-text_buf-20260410-195546-seed1,pick-place-v3,text_buf,PD,60,0.6666666666666666,200.0,92.56863094008227,0.0,0.9833333333333333,0.0,20,1,11.405644178390503,2026-04-10T19:55:57
runs/batch/full_observable/mw-pick-place-v3-text_buf-20260410-195559-seed2,mw-pick-place-v3-text_buf-20260410-195559-seed2,pick-place-v3,text_buf,PD,60,0.8166666666666667,200.0,129.12323313726958,0.0,1.0,0.0,20,1,11.547287702560425,2026-04-10T19:56:11
runs/batch/full_observable/mw-push-v3-no_mem-20260410-195253-seed0,mw-push-v3-no_mem-20260410-195253-seed0,push-v3,no_mem,PD,60,0.9166666666666666,200.0,1428.6331752014562,0.0,0.0,0.0,20,1,11.148539066314697,2026-04-10T19:53:04
runs/batch/full_observable/mw-push-v3-no_mem-20260410-195306-seed1,mw-push-v3-no_mem-20260410-195306-seed1,push-v3,no_mem,PD,60,0.3333333333333333,200.0,436.5346679643979,0.0,0.0,0.0,20,1,11.382745265960693,2026-04-10T19:53:18
runs/batch/full_observable/mw-push-v3-no_mem-20260410-195319-seed2,mw-push-v3-no_mem-20260410-195319-seed2,push-v3,no_mem,PD,60,0.9666666666666667,200.0,1476.5787960058587,0.0,0.0,0.0,20,1,10.926009893417358,2026-04-10T19:53:30
runs/batch/full_observable/mw-push-v3-struct_mem-20260410-195413-seed0,mw-push-v3-struct_mem-20260410-195413-seed0,push-v3,struct_mem,PD,60,0.9166666666666666,200.0,1428.6331752014562,0.0,0.0,0.0,20,1,11.769937515258789,2026-04-10T19:54:25
runs/batch/full_observable/mw-push-v3-struct_mem-20260410-195427-seed1,mw-push-v3-struct_mem-20260410-195427-seed1,push-v3,struct_mem,PD,60,0.3333333333333333,200.0,436.5346679643979,0.0,0.0,0.0,20,1,11.992016792297363,2026-04-10T19:54:39
runs/batch/full_observable/mw-push-v3-struct_mem-20260410-195441-seed2,mw-push-v3-struct_mem-20260410-195441-seed2,push-v3,struct_mem,PD,60,0.9666666666666667,200.0,1476.5787960058587,0.0,0.0,0.0,20,1,11.423028945922852,2026-04-10T19:54:52
runs/batch/full_observable/mw-push-v3-text_buf-20260410-195332-seed0,mw-push-v3-text_buf-20260410-195332-seed0,push-v3,text_buf,PD,60,0.9166666666666666,200.0,1428.6339289352259,0.0,0.0,0.0,20,1,12.183980941772461,2026-04-10T19:53:44
runs/batch/full_observable/mw-push-v3-text_buf-20260410-195346-seed1,mw-push-v3-text_buf-20260410-195346-seed1,push-v3,text_buf,PD,60,0.3333333333333333,200.0,435.5819973123203,0.0,0.0,0.0,20,1,11.838403463363647,2026-04-10T19:53:58
runs/batch/full_observable/mw-push-v3-text_buf-20260410-195400-seed2,mw-push-v3-text_buf-20260410-195400-seed2,push-v3,text_buf,PD,60,0.9666666666666667,200.0,1476.5787960058587,0.0,0.0,0.0,20,1,11.249854803085327,2026-04-10T19:54:11
runs/batch/full_observable/mw-reach-v3-no_mem-20260410-195139-seed0,mw-reach-v3-no_mem-20260410-195139-seed0,reach-v3,no_mem,PD,60,0.7833333333333333,200.0,1834.6505613918287,0.0,0.0,0.0,20,1,6.135475158691406,2026-04-10T19:51:45
runs/batch/full_observable/mw-reach-v3-no_mem-20260410-195147-seed1,mw-reach-v3-no_mem-20260410-195147-seed1,reach-v3,no_mem,PD,60,0.8,200.0,1858.5768295037547,0.0,0.0,0.0,20,1,6.216187477111816,2026-04-10T19:51:53
runs/batch/full_observable/mw-reach-v3-no_mem-20260410-195155-seed2,mw-reach-v3-no_mem-20260410-195155-seed2,reach-v3,no_mem,PD,60,0.8166666666666667,200.0,1843.2453977338002,0.0,0.0,0.0,20,1,6.171698570251465,2026-04-10T19:52:01
runs/batch/full_observable/mw-reach-v3-struct_mem-20260410-195228-seed0,mw-reach-v3-struct_mem-20260410-195228-seed0,reach-v3,struct_mem,PD,60,0.7833333333333333,200.0,1834.6505613918287,0.0,0.0,0.0,20,1,6.631101131439209,2026-04-10T19:52:35
runs/batch/full_observable/mw-reach-v3-struct_mem-20260410-195236-seed1,mw-reach-v3-struct_mem-20260410-195236-seed1,reach-v3,struct_mem,PD,60,0.8,200.0,1858.5768295037547,0.0,0.0,0.0,20,1,6.621137380599976,2026-04-10T19:52:43
runs/batch/full_observable/mw-reach-v3-struct_mem-20260410-195245-seed2,mw-reach-v3-struct_mem-20260410-195245-seed2,reach-v3,struct_mem,PD,60,0.8166666666666667,200.0,1843.2453977338002,0.0,0.0,0.0,20,1,6.71530294418335,2026-04-10T19:52:51
runs/batch/full_observable/mw-reach-v3-text_buf-20260410-195203-seed0,mw-reach-v3-text_buf-20260410-195203-seed0,reach-v3,text_buf,PD,60,0.7833333333333333,200.0,1834.6505613918287,0.0,0.0,0.0,20,1,6.678362846374512,2026-04-10T19:52:10
