run_dir,exp_id,task,policy,controller,episodes,success_rate,avg_steps,avg_reward,avg_grasp_attempts,avg_grasp_success,avg_retry_count,flash_every,flash_len,wall_time_sec,generated
runs/ablation/p3b_no_retry/mw-door-open-v3-struct_mem-20260410-191852-seed0,mw-door-open-v3-struct_mem-20260410-191852-seed0,door-open-v3,struct_mem,PD,60,0.0,200.0,312.2261618651043,0.0,0.0,0.0,20,1,7.87905478477478,2026-04-10T19:19:00
runs/ablation/p3b_no_retry/mw-door-open-v3-struct_mem-20260410-191901-seed1,mw-door-open-v3-struct_mem-20260410-191901-seed1,door-open-v3,struct_mem,PD,60,0.0,200.0,299.7522597143835,0.0,0.0,0.0,20,1,7.928434133529663,2026-04-10T19:19:09
runs/ablation/p3b_no_retry/mw-door-open-v3-struct_mem-20260410-191911-seed2,mw-door-open-v3-struct_mem-20260410-191911-seed2,door-open-v3,struct_mem,PD,60,0.0,200.0,321.16253839837094,0.0,0.0,0.0,20,1,7.947725772857666,2026-04-10T19:19:19
runs/ablation/p3b_no_retry/mw-door-open-v3-text_buf-20260410-191823-seed0,mw-door-open-v3-text_buf-20260410-191823-seed0,door-open-v3,text_buf,PD,60,0.0,200.0,305.24256167308306,0.0,0.0,0.0,20,1,8.029126644134521,2026-04-10T19:18:31
runs/ablation/p3b_no_retry/mw-door-open-v3-text_buf-20260410-191832-seed1,mw-door-open-v3-text_buf-20260410-191832-seed1,door-open-v3,text_buf,PD,60,0.0,200.0,302.7298252875875,0.0,0.0,0.0,20,1,7.975207567214966,2026-04-10T19:18:40
runs/ablation/p3b_no_retry/mw-door-open-v3-text_buf-20260410-191842-seed2,mw-door-open-v3-text_buf-20260410-191842-seed2,door-open-v3,text_buf,PD,60,0.0,200.0,321.93349888335166,0.0,0.0,0.0,20,1,7.872652053833008,2026-04-10T19:18:50
runs/ablation/p3b_no_retry/mw-pick-place-v3-struct_mem-20260410-191743-seed0,mw-pick-place-v3-struct_mem-20260410-191743-seed0,pick-place-v3,struct_mem,PD,60,0.6166666666666667,200.0,121.44783224485857,0.0,0.9833333333333333,0.0,20,1,11.737924814224243,2026-04-10T19:17:54
runs/ablation/p3b_no_retry/mw-pick-place-v3-struct_mem-20260410-191756-seed1,mw-pick-place-v3-struct_mem-20260410-191756-seed1,pick-place-v3,struct_mem,PD,60,0.7,200.0,95.39488046379275,0.0,0.9666666666666667,0.0,20,1,11.298677444458008,2026-04-10T19:18:08
runs/ablation/p3b_no_retry/mw-pick-place-v3-struct_mem-20260410-191809-seed2,mw-pick-place-v3-struct_mem-20260410-191809-seed2,pick-place-v3,struct_mem,PD,60,0.8333333333333334,200.0,136.84221790260634,0.0,1.0,0.0,20,1,11.646362066268921,2026-04-10T19:18:21
runs/ablation/p3b_no_retry/mw-pick-place-v3-text_buf-20260410-191703-seed0,mw-pick-place-v3-text_buf-20260410-191703-seed0,pick-place-v3,text_buf,PD,60,0.6166666666666667,200.0,121.80301293120193,0.0,0.9833333333333333,0.0,20,1,11.263917922973633,2026-04-10T19:17:14
runs/ablation/p3b_no_retry/mw-pick-place-v3-text_buf-20260410-191716-seed1,mw-pick-place-v3-text_buf-20260410-191716-seed1,pick-place-v3,text_buf,PD,60,0.7,200.0,95.58495148309134,0.0,0.9833333333333333,0.0,20,1,11.463658094406128,2026-04-10T19:17:27
runs/ablation/p3b_no_retry/mw-pick-place-v3-text_buf-20260410-191729-seed2,mw-pick-place-v3-text_buf-20260410-191729-seed2,pick-place-v3,text_buf,PD,60,0.8333333333333334,200.0,136.82057011615368,0.0,1.0,0.0,20,1,12.09111475944519,2026-04-10T19:17:41
