run_dir,exp_id,task,policy,controller,episodes,success_rate,avg_steps,avg_reward,avg_grasp_attempts,avg_grasp_success,avg_retry_count,flash_every,flash_len,wall_time_sec,generated
runs/batch/retry0_main/mw-door-open-v3-no_mem-20260410-200045-seed0,mw-door-open-v3-no_mem-20260410-200045-seed0,door-open-v3,no_mem,PD,60,0.0,200.0,312.2261618651043,0.0,0.0,0.0,20,1,7.83372950553894,2026-04-10T20:00:53
runs/batch/retry0_main/mw-door-open-v3-no_mem-20260410-200055-seed1,mw-door-open-v3-no_mem-20260410-200055-seed1,door-open-v3,no_mem,PD,60,0.0,200.0,299.7522597143835,0.0,0.0,0.0,20,1,7.419109106063843,2026-04-10T20:01:02
runs/batch/retry0_main/mw-door-open-v3-no_mem-20260410-200104-seed2,mw-door-open-v3-no_mem-20260410-200104-seed2,door-open-v3,no_mem,PD,60,0.0,200.0,321.16253839837094,0.0,0.0,0.0,20,1,7.668313264846802,2026-04-10T20:01:12
runs/batch/retry0_main/mw-door-open-v3-no_mem-20260410-200113-seed3,mw-door-open-v3-no_mem-20260410-200113-seed3,door-open-v3,no_mem,PD,60,0.0,200.0,295.2956725513231,0.0,0.0,0.0,20,1,7.665271759033203,2026-04-10T20:01:21
runs/batch/retry0_main/mw-door-open-v3-no_mem-20260410-200123-seed4,mw-door-open-v3-no_mem-20260410-200123-seed4,door-open-v3,no_mem,PD,60,0.0,200.0,298.2058003872473,0.0,0.0,0.0,20,1,7.684828519821167,2026-04-10T20:01:31
runs/batch/retry0_main/mw-door-open-v3-struct_mem-20260410-200220-seed0,mw-door-open-v3-struct_mem-20260410-200220-seed0,door-open-v3,struct_mem,PD,60,0.0,200.0,312.2261618651043,0.0,0.0,0.0,20,1,7.911486864089966,2026-04-10T20:02:28
runs/batch/retry0_main/mw-door-open-v3-struct_mem-20260410-200230-seed1,mw-door-open-v3-struct_mem-20260410-200230-seed1,door-open-v3,struct_mem,PD,60,0.0,200.0,299.7522597143835,0.0,0.0,0.0,20,1,8.085052490234375,2026-04-10T20:02:38
runs/batch/retry0_main/mw-door-open-v3-struct_mem-20260410-200240-seed2,mw-door-open-v3-struct_mem-20260410-200240-seed2,door-open-v3,struct_mem,PD,60,0.0,200.0,321.16253839837094,0.0,0.0,0.0,20,1,7.97916579246521,2026-04-10T20:02:48
runs/batch/retry0_main/mw-door-open-v3-struct_mem-20260410-200249-seed3,mw-door-open-v3-struct_mem-20260410-200249-seed3,door-open-v3,struct_mem,PD,60,0.0,200.0,295.2956725513231,0.0,0.0,0.0,20,1,7.908315181732178,2026-04-10T20:02:57
runs/batch/retry0_main/mw-door-open-v3-struct_mem-20260410-200259-seed4,mw-door-open-v3-struct_mem-20260410-200259-seed4,door-open-v3,struct_mem,PD,60,0.0,200.0,298.2058003872473,0.0,0.0,0.0,20,1,7.996746301651001,2026-04-10T20:03:07
