run_dir,exp_id,task,policy,condition,controller,episodes,success_rate,avg_steps,avg_reward,avg_grasp_attempts,avg_grasp_success,avg_retry_count,flash_every,flash_len,wall_time_sec,generated
runs/batch/retry3_ablation_5s/mw-pick-place-v3-struct_mem-20260416-223827-seed0,mw-pick-place-v3-struct_mem-20260416-223827-seed0,pick-place-v3,struct_mem,PO,PD,60,0.25,200.0,92.74929902098782,2.1333333333333333,1.0,2.1333333333333333,20,1,12.04162311553955,2026-04-16T22:38:40
runs/batch/retry3_ablation_5s/mw-pick-place-v3-struct_mem-20260416-223841-seed1,mw-pick-place-v3-struct_mem-20260416-223841-seed1,pick-place-v3,struct_mem,PO,PD,60,0.18333333333333332,200.0,69.80840949777854,2.1666666666666665,0.9833333333333333,2.1666666666666665,20,1,11.723333835601807,2026-04-16T22:38:53
runs/batch/retry3_ablation_5s/mw-pick-place-v3-struct_mem-20260416-223855-seed2,mw-pick-place-v3-struct_mem-20260416-223855-seed2,pick-place-v3,struct_mem,PO,PD,60,0.26666666666666666,200.0,95.62722920587736,2.15,1.0,2.15,20,1,11.939846277236938,2026-04-16T22:39:07
runs/batch/retry3_ablation_5s/mw-pick-place-v3-struct_mem-20260416-223909-seed3,mw-pick-place-v3-struct_mem-20260416-223909-seed3,pick-place-v3,struct_mem,PO,PD,60,0.23333333333333334,200.0,83.94024268461716,2.2,1.0,2.2,20,1,11.98728895187378,2026-04-16T22:39:21
runs/batch/retry3_ablation_5s/mw-pick-place-v3-struct_mem-20260416-223922-seed4,mw-pick-place-v3-struct_mem-20260416-223922-seed4,pick-place-v3,struct_mem,PO,PD,60,0.25,200.0,98.18187240674479,2.033333333333333,0.9666666666666667,2.033333333333333,20,1,11.682507276535034,2026-04-16T22:39:34
runs/batch/retry3_ablation_5s/mw-pick-place-v3-text_buf-20260416-223719-seed0,mw-pick-place-v3-text_buf-20260416-223719-seed0,pick-place-v3,text_buf,PO,PD,60,0.2,200.0,80.03969910977099,2.25,0.95,2.25,20,1,12.094730138778687,2026-04-16T22:37:32
runs/batch/retry3_ablation_5s/mw-pick-place-v3-text_buf-20260416-223733-seed1,mw-pick-place-v3-text_buf-20260416-223733-seed1,pick-place-v3,text_buf,PO,PD,60,0.26666666666666666,200.0,68.2936502858319,2.033333333333333,0.9166666666666666,2.033333333333333,20,1,11.552388668060303,2026-04-16T22:37:45
runs/batch/retry3_ablation_5s/mw-pick-place-v3-text_buf-20260416-223747-seed2,mw-pick-place-v3-text_buf-20260416-223747-seed2,pick-place-v3,text_buf,PO,PD,60,0.15,200.0,72.23439745131154,2.183333333333333,0.9333333333333333,2.183333333333333,20,1,11.772634744644165,2026-04-16T22:37:59
runs/batch/retry3_ablation_5s/mw-pick-place-v3-text_buf-20260416-223800-seed3,mw-pick-place-v3-text_buf-20260416-223800-seed3,pick-place-v3,text_buf,PO,PD,60,0.21666666666666667,200.0,77.17362785425553,2.1333333333333333,0.95,2.1333333333333333,20,1,11.61978268623352,2026-04-16T22:38:12
runs/batch/retry3_ablation_5s/mw-pick-place-v3-text_buf-20260416-223814-seed4,mw-pick-place-v3-text_buf-20260416-223814-seed4,pick-place-v3,text_buf,PO,PD,60,0.18333333333333332,200.0,79.02234549727731,2.25,0.95,2.25,20,1,11.910846710205078,2026-04-16T22:38:26
