run_dir,exp_id,task,policy,controller,episodes,success_rate,avg_steps,avg_reward,avg_grasp_attempts,avg_grasp_success,avg_retry_count,flash_every,flash_len,wall_time_sec,generated
runs/batch/smallpool_v3/mw-smallpool-20260410-184328/mw-door-open-v3-no_mem-20260410-184850-seed0,mw-door-open-v3-no_mem-20260410-184850-seed0,door-open-v3,no_mem,PD,60,0.0,200.0,312.2261618651043,0.0,0.0,0.0,20,1,7.405900716781616,2026-04-10T18:48:57
runs/batch/smallpool_v3/mw-smallpool-20260410-184328/mw-door-open-v3-no_mem-20260410-184859-seed1,mw-door-open-v3-no_mem-20260410-184859-seed1,door-open-v3,no_mem,PD,60,0.0,200.0,299.7522597143835,0.0,0.0,0.0,20,1,7.478068828582764,2026-04-10T18:49:07
runs/batch/smallpool_v3/mw-smallpool-20260410-184328/mw-door-open-v3-no_mem-20260410-184908-seed2,mw-door-open-v3-no_mem-20260410-184908-seed2,door-open-v3,no_mem,PD,60,0.0,200.0,321.16253839837094,0.0,0.0,0.0,20,1,7.46831488609314,2026-04-10T18:49:16
runs/batch/smallpool_v3/mw-smallpool-20260410-184328/mw-door-open-v3-no_mem-20260410-184918-seed3,mw-door-open-v3-no_mem-20260410-184918-seed3,door-open-v3,no_mem,PD,60,0.0,200.0,295.2956725513231,0.0,0.0,0.0,20,1,7.95649790763855,2026-04-10T18:49:26
runs/batch/smallpool_v3/mw-smallpool-20260410-184328/mw-door-open-v3-no_mem-20260410-184927-seed4,mw-door-open-v3-no_mem-20260410-184927-seed4,door-open-v3,no_mem,PD,60,0.0,200.0,298.2058003872473,0.0,0.0,0.0,20,1,8.06423807144165,2026-04-10T18:49:36
runs/batch/smallpool_v3/mw-smallpool-20260410-184328/mw-door-open-v3-struct_mem-20260410-185026-seed0,mw-door-open-v3-struct_mem-20260410-185026-seed0,door-open-v3,struct_mem,PD,60,0.0,200.0,239.93103759673397,2.7333333333333334,0.0,2.7333333333333334,20,1,8.488532543182373,2026-04-10T18:50:34
runs/batch/smallpool_v3/mw-smallpool-20260410-184328/mw-door-open-v3-struct_mem-20260410-185036-seed1,mw-door-open-v3-struct_mem-20260410-185036-seed1,door-open-v3,struct_mem,PD,60,0.0,200.0,224.60099577771794,2.4,0.0,2.4,20,1,7.518883228302002,2026-04-10T18:50:43
runs/batch/smallpool_v3/mw-smallpool-20260410-184328/mw-door-open-v3-struct_mem-20260410-185045-seed2,mw-door-open-v3-struct_mem-20260410-185045-seed2,door-open-v3,struct_mem,PD,60,0.0,200.0,248.80462884111597,2.716666666666667,0.0,2.716666666666667,20,1,7.76116418838501,2026-04-10T18:50:53
runs/batch/smallpool_v3/mw-smallpool-20260410-184328/mw-door-open-v3-struct_mem-20260410-185055-seed3,mw-door-open-v3-struct_mem-20260410-185055-seed3,door-open-v3,struct_mem,PD,60,0.0,200.0,221.68734116626328,2.45,0.0,2.45,20,1,7.650766849517822,2026-04-10T18:51:02
runs/batch/smallpool_v3/mw-smallpool-20260410-184328/mw-door-open-v3-struct_mem-20260410-185104-seed4,mw-door-open-v3-struct_mem-20260410-185104-seed4,door-open-v3,struct_mem,PD,60,0.0,200.0,221.66660221844145,2.4833333333333334,0.0,2.4833333333333334,20,1,7.449291944503784,2026-04-10T18:51:11
runs/batch/smallpool_v3/mw-smallpool-20260410-184328/mw-door-open-v3-text_buf-20260410-184937-seed0,mw-door-open-v3-text_buf-20260410-184937-seed0,door-open-v3,text_buf,PD,60,0.0,200.0,251.33109211101637,2.716666666666667,0.0,2.716666666666667,20,1,8.113626956939697,2026-04-10T18:49:45
runs/batch/smallpool_v3/mw-smallpool-20260410-184328/mw-door-open-v3-text_buf-20260410-184947-seed1,mw-door-open-v3-text_buf-20260410-184947-seed1,door-open-v3,text_buf,PD,60,0.0,200.0,231.13237193204856,2.466666666666667,0.0,2.466666666666667,20,1,7.635099172592163,2026-04-10T18:49:55
runs/batch/smallpool_v3/mw-smallpool-20260410-184328/mw-door-open-v3-text_buf-20260410-184957-seed2,mw-door-open-v3-text_buf-20260410-184957-seed2,door-open-v3,text_buf,PD,60,0.0,200.0,248.4829727436518,2.8,0.0,2.8,20,1,7.961930751800537,2026-04-10T18:50:05
runs/batch/smallpool_v3/mw-smallpool-20260410-184328/mw-door-open-v3-text_buf-20260410-185006-seed3,mw-door-open-v3-text_buf-20260410-185006-seed3,door-open-v3,text_buf,PD,60,0.0,200.0,230.51063807404023,2.716666666666667,0.0,2.716666666666667,20,1,8.00141954421997,2026-04-10T18:50:14
runs/batch/smallpool_v3/mw-smallpool-20260410-184328/mw-door-open-v3-text_buf-20260410-185016-seed4,mw-door-open-v3-text_buf-20260410-185016-seed4,door-open-v3,text_buf,PD,60,0.0,200.0,220.3530832166946,2.4,0.0,2.4,20,1,7.895606279373169,2026-04-10T18:50:24
runs/batch/smallpool_v3/mw-smallpool-20260410-184328/mw-pick-place-v3-no_mem-20260410-185113-seed0,mw-pick-place-v3-no_mem-20260410-185113-seed0,pick-place-v3,no_mem,PD,60,0.0,200.0,242.5678225779208,0.0,0.0,0.0,20,1,12.058656692504883,2026-04-10T18:51:25
runs/batch/smallpool_v3/mw-smallpool-20260410-184328/mw-pick-place-v3-no_mem-20260410-185127-seed1,mw-pick-place-v3-no_mem-20260410-185127-seed1,pick-place-v3,no_mem,PD,60,0.0,200.0,234.6454790359674,0.0,0.0,0.0,20,1,11.684830665588379,2026-04-10T18:51:39
runs/batch/smallpool_v3/mw-smallpool-20260410-184328/mw-pick-place-v3-no_mem-20260410-185140-seed2,mw-pick-place-v3-no_mem-20260410-185140-seed2,pick-place-v3,no_mem,PD,60,0.0,200.0,246.15754976014475,0.0,0.0,0.0,20,1,11.625991106033325,2026-04-10T18:51:52
runs/batch/smallpool_v3/mw-smallpool-20260410-184328/mw-pick-place-v3-no_mem-20260410-185154-seed3,mw-pick-place-v3-no_mem-20260410-185154-seed3,pick-place-v3,no_mem,PD,60,0.0,200.0,238.86639645877815,0.0,0.0,0.0,20,1,11.62285041809082,2026-04-10T18:52:05
runs/batch/smallpool_v3/mw-smallpool-20260410-184328/mw-pick-place-v3-no_mem-20260410-185207-seed4,mw-pick-place-v3-no_mem-20260410-185207-seed4,pick-place-v3,no_mem,PD,60,0.0,200.0,165.6790479986089,0.0,0.0,0.0,20,1,11.681992292404175,2026-04-10T18:52:19
