==========================================================================================
TABLE: Retry=0 vs Old (retry=3) — Success Rate Comparison
==========================================================================================

Task                 Policy       Retry=0            Old (retry=3)      Delta (pp)
------------------------------------------------------------------------------------------
door-open-v3         no_mem       0.0% (±0.0)        0.0% (±0.0)        +0.0      
door-open-v3         text_buf     0.0% (±0.0)        0.0% (±0.0)        +0.0      
door-open-v3         struct_mem   0.0% (±0.0)        0.0% (±0.0)        +0.0      

pick-place-v3        no_mem       0.0% (±0.0)        0.0% (±0.0)        +0.0      
pick-place-v3        text_buf     73.7% (±7.6)       21.0% (±3.1)       +52.7     
pick-place-v3        struct_mem   73.7% (±7.6)       20.7% (±4.8)       +53.0     

push-v3              no_mem       0.0% (±0.0)        0.0% (±0.0)        +0.0      
push-v3              text_buf     66.7% (±25.1)      66.7% (±25.1)      +0.0      
push-v3              struct_mem   64.7% (±26.1)      64.7% (±26.1)      +0.0      

reach-v3             no_mem       0.0% (±0.0)        0.0% (±0.0)        +0.0      
reach-v3             text_buf     69.7% (±6.1)       69.7% (±6.1)       +0.0      
reach-v3             struct_mem   69.7% (±6.1)       69.7% (±6.1)       +0.0      
