flash_every,task,policy,success_rate_mean,success_rate_std,n_seeds,ci_lo,ci_hi
5,reach-v3,no_mem,0.3867,0.0951,5,0.3200,0.4800
5,reach-v3,text_buf,0.7500,0.0641,5,0.7033,0.8100
5,reach-v3,struct_mem,0.7500,0.0641,5,0.7033,0.8100
5,push-v3,no_mem,0.4167,0.3909,5,0.0833,0.7500
5,push-v3,text_buf,0.6633,0.2386,5,0.4533,0.8733
5,push-v3,struct_mem,0.6433,0.2469,5,0.4233,0.8633
5,pick-place-v3,no_mem,0.0000,0.0000,5,0.0000,0.0000
5,pick-place-v3,text_buf,0.7500,0.0506,5,0.7067,0.7933
5,pick-place-v3,struct_mem,0.7500,0.0506,5,0.7067,0.7933
10,reach-v3,no_mem,0.0400,0.0800,5,0.0000,0.1200
10,reach-v3,text_buf,0.7367,0.0951,5,0.6533,0.8200
10,reach-v3,struct_mem,0.7367,0.0951,5,0.6533,0.8200
10,push-v3,no_mem,0.1067,0.0720,5,0.0467,0.1667
10,push-v3,text_buf,0.6667,0.2326,5,0.4600,0.8733
10,push-v3,struct_mem,0.6467,0.2466,5,0.4267,0.8634
10,pick-place-v3,no_mem,0.0000,0.0000,5,0.0000,0.0000
10,pick-place-v3,text_buf,0.7367,0.0653,5,0.6800,0.7933
10,pick-place-v3,struct_mem,0.7367,0.0653,5,0.6800,0.7933
20,reach-v3,no_mem,0.0000,0.0000,5,0.0000,0.0000
20,reach-v3,text_buf,0.6967,0.0609,5,0.6433,0.7467
20,reach-v3,struct_mem,0.6967,0.0609,5,0.6433,0.7467
20,push-v3,no_mem,0.0000,0.0000,5,0.0000,0.0000
20,push-v3,text_buf,0.6667,0.2506,5,0.4500,0.8833
20,push-v3,struct_mem,0.6467,0.2611,5,0.4167,0.8767
20,pick-place-v3,no_mem,0.0000,0.0000,5,0.0000,0.0000
20,pick-place-v3,text_buf,0.7367,0.0763,5,0.6733,0.8000
20,pick-place-v3,struct_mem,0.7367,0.0763,5,0.6700,0.8000
50,reach-v3,no_mem,0.0000,0.0000,5,0.0000,0.0000
50,reach-v3,text_buf,0.6000,0.0707,5,0.5500,0.6700
50,reach-v3,struct_mem,0.6000,0.0707,5,0.5500,0.6700
50,push-v3,no_mem,0.0000,0.0000,5,0.0000,0.0000
50,push-v3,text_buf,0.6733,0.2596,5,0.4467,0.9000
50,push-v3,struct_mem,0.6400,0.2754,5,0.3967,0.8833
50,pick-place-v3,no_mem,0.0000,0.0000,5,0.0000,0.0000
50,pick-place-v3,text_buf,0.7400,0.0359,5,0.7067,0.7700
50,pick-place-v3,struct_mem,0.7400,0.0359,5,0.7067,0.7700
never,reach-v3,no_mem,0.0000,0.0000,5,0.0000,0.0000
never,reach-v3,text_buf,0.6700,0.0957,5,0.5900,0.7500
never,reach-v3,struct_mem,0.6700,0.0957,5,0.5900,0.7500
never,push-v3,no_mem,0.0000,0.0000,5,0.0000,0.0000
never,push-v3,text_buf,0.6500,0.2501,5,0.4300,0.8700
never,push-v3,struct_mem,0.6233,0.2668,5,0.3867,0.8600
never,pick-place-v3,no_mem,0.0000,0.0000,5,0.0000,0.0000
never,pick-place-v3,text_buf,0.7400,0.0501,5,0.6967,0.7833
never,pick-place-v3,struct_mem,0.7433,0.0455,5,0.7033,0.7833
