condition,episodes,flash_every,flash_len,full_observable,mean_reward,po_mode,policy,seed,success_rate,task
FO,60,5,1,True,525.254964003164,weak,lstm,0,0.16666666666666666,button-press-topdown-v3
StrongPO,60,5,1,False,181.01483886597183,strong,lstm,0,0.0,button-press-topdown-v3
WeakPO,60,5,1,False,337.7076825838493,weak,lstm,0,0.0,button-press-topdown-v3
FO,60,5,1,True,492.7863927346369,weak,lstm,1,0.0,button-press-topdown-v3
StrongPO,60,5,1,False,252.83005748827821,strong,lstm,1,0.0,button-press-topdown-v3
WeakPO,60,5,1,False,414.3043089350659,weak,lstm,1,0.016666666666666666,button-press-topdown-v3
FO,60,5,1,True,533.7316139567412,weak,lstm,2,0.0,button-press-topdown-v3
StrongPO,60,5,1,False,152.5685497503835,strong,lstm,2,0.0,button-press-topdown-v3
WeakPO,60,5,1,False,401.7222625463971,weak,lstm,2,0.0,button-press-topdown-v3
FO,60,5,1,True,512.8407140536349,weak,lstm,3,0.0,button-press-topdown-v3
StrongPO,60,5,1,False,432.04911780118977,strong,lstm,3,0.15,button-press-topdown-v3
WeakPO,60,5,1,False,470.698929300173,weak,lstm,3,0.15,button-press-topdown-v3
FO,60,5,1,True,541.1739369699851,weak,lstm,4,0.7666666666666667,button-press-topdown-v3
StrongPO,60,5,1,False,184.60002822303457,strong,lstm,4,0.0,button-press-topdown-v3
WeakPO,60,5,1,False,379.5443569173159,weak,lstm,4,0.016666666666666666,button-press-topdown-v3
FO,60,5,1,True,519.1118868967686,weak,mlp,0,0.0,button-press-topdown-v3
StrongPO,60,5,1,False,166.68833868197734,strong,mlp,0,0.0,button-press-topdown-v3
WeakPO,60,5,1,False,379.36323328969564,weak,mlp,0,0.0,button-press-topdown-v3
FO,60,5,1,True,452.31180423429726,weak,mlp,1,0.0,button-press-topdown-v3
StrongPO,60,5,1,False,303.8686245605096,strong,mlp,1,0.0,button-press-topdown-v3
WeakPO,60,5,1,False,380.3365293093624,weak,mlp,1,0.0,button-press-topdown-v3
FO,60,5,1,True,497.6135792268414,weak,mlp,2,0.0,button-press-topdown-v3
StrongPO,60,5,1,False,376.79400486056085,strong,mlp,2,0.0,button-press-topdown-v3
WeakPO,60,5,1,False,525.4143302884506,weak,mlp,2,0.31666666666666665,button-press-topdown-v3
FO,60,5,1,True,485.124032095261,weak,mlp,3,0.0,button-press-topdown-v3
StrongPO,60,5,1,False,264.92797365339084,strong,mlp,3,0.0,button-press-topdown-v3
WeakPO,60,5,1,False,465.7975034475934,weak,mlp,3,0.0,button-press-topdown-v3
FO,60,5,1,True,483.5478552134847,weak,mlp,4,0.0,button-press-topdown-v3
StrongPO,60,5,1,False,310.0871389738902,strong,mlp,4,0.0,button-press-topdown-v3
WeakPO,60,5,1,False,379.2748760963883,weak,mlp,4,0.08333333333333333,button-press-topdown-v3
FO,60,5,1,True,298.21298120709724,weak,lstm,0,0.0,door-open-v3
StrongPO,60,5,1,False,119.19223182104966,strong,lstm,0,0.0,door-open-v3
WeakPO,60,5,1,False,219.7896213957714,weak,lstm,0,0.0,door-open-v3
FO,60,5,1,True,830.4136096012375,weak,lstm,1,0.5666666666666667,door-open-v3
StrongPO,60,5,1,False,82.17648800352285,strong,lstm,1,0.0,door-open-v3
WeakPO,60,5,1,False,386.5606568324643,weak,lstm,1,0.016666666666666666,door-open-v3
FO,60,5,1,True,903.120857521282,weak,lstm,2,0.65,door-open-v3
StrongPO,60,5,1,False,400.7237417631726,strong,lstm,2,0.6833333333333333,door-open-v3
WeakPO,60,5,1,False,105.1755412579657,weak,lstm,2,0.0,door-open-v3
FO,60,5,1,True,339.38313394109076,weak,lstm,3,0.0,door-open-v3
StrongPO,60,5,1,False,145.37417109101438,strong,lstm,3,0.0,door-open-v3
WeakPO,60,5,1,False,341.02269147047906,weak,lstm,3,0.0,door-open-v3
FO,60,5,1,True,1108.0422116840884,weak,lstm,4,0.9333333333333333,door-open-v3
StrongPO,60,5,1,False,901.4335857382998,strong,lstm,4,0.9166666666666666,door-open-v3
WeakPO,60,5,1,False,497.77529603178743,weak,lstm,4,0.48333333333333334,door-open-v3
FO,60,5,1,True,972.7116828271639,weak,mlp,0,0.36666666666666664,door-open-v3
StrongPO,60,5,1,False,111.42446722541881,strong,mlp,0,0.0,door-open-v3
