task,policy,condition,n_seeds,episodes_per_seed,flash_every,flash_len,success_rate_mean,success_rate_std,mean_reward_mean,mean_reward_std
button-press-topdown-v3,lstm,FO,5,60,5,1,0.18666666666666668,0.3321646178227497,521.1575243436324,19.03709509067204
button-press-topdown-v3,lstm,StrongPO,5,60,5,1,0.03,0.0670820393249937,240.61251842577158,113.17935183692434
button-press-topdown-v3,lstm,WeakPO,5,60,5,1,0.03666666666666667,0.06390096504226937,400.7955080565602,48.73787034801521
button-press-topdown-v3,mlp,FO,5,60,5,1,0.0,0.0,487.5418315333306,24.295374671473667
button-press-topdown-v3,mlp,StrongPO,5,60,5,1,0.0,0.0,284.47321614606574,77.1535430203744
button-press-topdown-v3,mlp,WeakPO,5,60,5,1,0.07999999999999999,0.13713334953816142,426.0372944862981,66.91491082240705
door-open-v3,lstm,FO,5,60,5,1,0.43,0.4153980687913168,695.8345587909591,359.2195766170585
door-open-v3,lstm,StrongPO,5,60,5,1,0.32,0.44587616616674586,329.78004368341186,343.3223898823076
door-open-v3,lstm,WeakPO,5,60,5,1,0.1,0.2144113388378101,310.0647613976936,151.80122998283704
door-open-v3,mlp,FO,5,60,5,1,0.33666666666666667,0.3941235001028654,892.1824072425394,400.59776656687615
door-open-v3,mlp,StrongPO,5,60,5,1,0.003333333333333333,0.007453559924999299,138.1830968754952,51.70254681404908
door-open-v3,mlp,WeakPO,5,60,5,1,0.08666666666666666,0.15916448515084428,358.27102175506803,225.55407167326914
push-v3,lstm,FO,5,60,5,1,0.023333333333333334,0.022360679774997897,34.89492197904143,25.579948117398942
push-v3,lstm,StrongPO,5,60,5,1,0.003333333333333333,0.007453559924999299,6.329935049231456,4.423099496885958
push-v3,lstm,WeakPO,5,60,5,1,0.026666666666666665,0.025276251480171836,36.78294946634393,25.956962835368476
push-v3,mlp,FO,5,60,5,1,0.05,0.06871842709362767,67.07286076873184,80.49136760246263
push-v3,mlp,StrongPO,5,60,5,1,0.0,0.0,8.77782792332155,7.601787920288857
push-v3,mlp,WeakPO,5,60,5,1,0.03333333333333334,0.039086797998528586,35.92659475862892,19.890133201181595
reach-v3,lstm,FO,5,60,5,1,0.6866666666666666,0.32901367752724203,1509.3813848487787,297.36521614699126
reach-v3,lstm,StrongPO,5,60,5,1,0.04,0.0383695481107378,489.815806384361,167.72637391115916
reach-v3,lstm,WeakPO,5,60,5,1,0.04666666666666667,0.061689185077739156,539.3310688700764,202.67225906172004
reach-v3,mlp,FO,5,60,5,1,0.5,0.23124061542519345,1469.2077621620747,279.7133235841664
reach-v3,mlp,StrongPO,5,60,5,1,0.0,0.0,207.41575433069374,136.77222500821995
reach-v3,mlp,WeakPO,5,60,5,1,0.03333333333333334,0.05137011669140814,320.9968828959247,235.38117550134322
