task,policy,seed,episodes,flash_every,flash_len,success_rate,mean_reward,run_path
pick-place-v3,no_mem,0,60,5,1,0.0,265.24759602194007,runs/multi_goal/mw-pick-place-v3-no_mem-20260417-182824-seed0
pick-place-v3,no_mem,1,60,5,1,0.0,266.4802871739544,runs/multi_goal/mw-pick-place-v3-no_mem-20260417-182838-seed1
pick-place-v3,no_mem,2,60,5,1,0.0,267.12602139034874,runs/multi_goal/mw-pick-place-v3-no_mem-20260417-182852-seed2
pick-place-v3,no_mem,3,60,5,1,0.0,265.6288945295487,runs/multi_goal/mw-pick-place-v3-no_mem-20260417-182906-seed3
pick-place-v3,no_mem,4,60,5,1,0.0,176.94111431522515,runs/multi_goal/mw-pick-place-v3-no_mem-20260417-182920-seed4
pick-place-v3,struct_mem,0,60,5,1,0.6833333333333333,148.79405030906184,runs/multi_goal/mw-pick-place-v3-struct_mem-20260417-183042-seed0
pick-place-v3,struct_mem,1,60,5,1,0.65,120.2733617792066,runs/multi_goal/mw-pick-place-v3-struct_mem-20260417-183056-seed1
pick-place-v3,struct_mem,2,60,5,1,0.7833333333333333,169.16279300810393,runs/multi_goal/mw-pick-place-v3-struct_mem-20260417-183110-seed2
pick-place-v3,struct_mem,3,60,5,1,0.7833333333333333,171.08264023383842,runs/multi_goal/mw-pick-place-v3-struct_mem-20260417-183125-seed3
pick-place-v3,struct_mem,4,60,5,1,0.75,185.18253998461478,runs/multi_goal/mw-pick-place-v3-struct_mem-20260417-183139-seed4
pick-place-v3,text_buf,0,60,5,1,0.6833333333333333,150.16925416035804,runs/multi_goal/mw-pick-place-v3-text_buf-20260417-182933-seed0
pick-place-v3,text_buf,1,60,5,1,0.65,121.35399377900042,runs/multi_goal/mw-pick-place-v3-text_buf-20260417-182947-seed1
pick-place-v3,text_buf,2,60,5,1,0.7833333333333333,170.90866650686817,runs/multi_goal/mw-pick-place-v3-text_buf-20260417-183001-seed2
pick-place-v3,text_buf,3,60,5,1,0.7833333333333333,174.54156432943316,runs/multi_goal/mw-pick-place-v3-text_buf-20260417-183014-seed3
pick-place-v3,text_buf,4,60,5,1,0.75,185.33903883266885,runs/multi_goal/mw-pick-place-v3-text_buf-20260417-183028-seed4
push-v3,no_mem,0,60,5,1,0.8666666666666667,722.3348111207781,runs/multi_goal/mw-push-v3-no_mem-20260417-182501-seed0
push-v3,no_mem,1,60,5,1,0.06666666666666667,79.21479690192406,runs/multi_goal/mw-push-v3-no_mem-20260417-182514-seed1
push-v3,no_mem,2,60,5,1,0.9333333333333333,754.399495988503,runs/multi_goal/mw-push-v3-no_mem-20260417-182527-seed2
push-v3,no_mem,3,60,5,1,0.18333333333333332,176.38007117788126,runs/multi_goal/mw-push-v3-no_mem-20260417-182540-seed3
push-v3,no_mem,4,60,5,1,0.03333333333333333,83.8755459702542,runs/multi_goal/mw-push-v3-no_mem-20260417-182553-seed4
push-v3,struct_mem,0,60,5,1,0.9166666666666666,1198.1898864464006,runs/multi_goal/mw-push-v3-struct_mem-20260417-182714-seed0
push-v3,struct_mem,1,60,5,1,0.3333333333333333,291.98279180301375,runs/multi_goal/mw-push-v3-struct_mem-20260417-182728-seed1
push-v3,struct_mem,2,60,5,1,0.9,1158.0400825737631,runs/multi_goal/mw-push-v3-struct_mem-20260417-182742-seed2
push-v3,struct_mem,3,60,5,1,0.3333333333333333,281.5680749369649,runs/multi_goal/mw-push-v3-struct_mem-20260417-182756-seed3
push-v3,struct_mem,4,60,5,1,0.6833333333333333,898.6521406745159,runs/multi_goal/mw-push-v3-struct_mem-20260417-182810-seed4
push-v3,text_buf,0,60,5,1,0.9166666666666666,1400.212864552175,runs/multi_goal/mw-push-v3-text_buf-20260417-182606-seed0
push-v3,text_buf,1,60,5,1,0.3333333333333333,411.40215032252803,runs/multi_goal/mw-push-v3-text_buf-20260417-182619-seed1
push-v3,text_buf,2,60,5,1,0.9,1403.7510513865732,runs/multi_goal/mw-push-v3-text_buf-20260417-182633-seed2
push-v3,text_buf,3,60,5,1,0.38333333333333336,499.31809396592496,runs/multi_goal/mw-push-v3-text_buf-20260417-182647-seed3
push-v3,text_buf,4,60,5,1,0.7,1003.483428661296,runs/multi_goal/mw-push-v3-text_buf-20260417-182700-seed4
reach-v3,no_mem,0,60,5,1,0.4,1327.2095008078988,runs/multi_goal/mw-reach-v3-no_mem-20260417-182252-seed0
reach-v3,no_mem,1,60,5,1,0.4,1436.4199998067286,runs/multi_goal/mw-reach-v3-no_mem-20260417-182300-seed1
reach-v3,no_mem,2,60,5,1,0.38333333333333336,1384.126650952906,runs/multi_goal/mw-reach-v3-no_mem-20260417-182308-seed2
reach-v3,no_mem,3,60,5,1,0.3,1563.5374503219239,runs/multi_goal/mw-reach-v3-no_mem-20260417-182317-seed3
reach-v3,no_mem,4,60,5,1,0.5166666666666667,1363.0953238826853,runs/multi_goal/mw-reach-v3-no_mem-20260417-182325-seed4
reach-v3,struct_mem,0,60,5,1,0.6833333333333333,1713.7148935494818,runs/multi_goal/mw-reach-v3-struct_mem-20260417-182416-seed0
reach-v3,struct_mem,1,60,5,1,0.6666666666666666,1679.9122869004784,runs/multi_goal/mw-reach-v3-struct_mem-20260417-182425-seed1
reach-v3,struct_mem,2,60,5,1,0.65,1741.6500408698603,runs/multi_goal/mw-reach-v3-struct_mem-20260417-182434-seed2
reach-v3,struct_mem,3,60,5,1,0.6,1684.7920984383895,runs/multi_goal/mw-reach-v3-struct_mem-20260417-182443-seed3
reach-v3,struct_mem,4,60,5,1,0.9,1719.5440544095336,runs/multi_goal/mw-reach-v3-struct_mem-20260417-182451-seed4
reach-v3,text_buf,0,60,5,1,0.6833333333333333,1832.1491587440787,runs/multi_goal/mw-reach-v3-text_buf-20260417-182333-seed0
reach-v3,text_buf,1,60,5,1,0.6666666666666666,1849.4334190494349,runs/multi_goal/mw-reach-v3-text_buf-20260417-182341-seed1
reach-v3,text_buf,2,60,5,1,0.65,1839.585439087244,runs/multi_goal/mw-reach-v3-text_buf-20260417-182350-seed2
reach-v3,text_buf,3,60,5,1,0.6166666666666667,1867.4388689303732,runs/multi_goal/mw-reach-v3-text_buf-20260417-182358-seed3
reach-v3,text_buf,4,60,5,1,0.9166666666666666,1841.5495434054164,runs/multi_goal/mw-reach-v3-text_buf-20260417-182407-seed4
